model,decision_threshold,validation_f1_low_satisfaction,validation_recall_low_satisfaction,f1_high_satisfaction,f1_low_satisfaction,f1_macro,precision_low_satisfaction,recall_low_satisfaction,roc_auc
XGBoost,0.49000000000000027,0.4562759410333476,0.4934984520123839,0.8331364940104606,0.43128234617596317,0.6322094200932119,0.4025332760841563,0.46445380232846173,0.6922377398932953
Random Forest,0.5600000000000003,0.8633926051368896,0.9470588235294117,0.8536689001470829,0.42120232708468003,0.6374356136158814,0.4405083829096809,0.4035174634629676,0.6804217420641194
Logistic Regression,0.5200000000000002,0.41711652402896643,0.4904024767801858,0.8087909040488075,0.4182661885678127,0.6135285463083101,0.36418732782369145,0.4912063413425811,0.6793579602846069
